Y,M,D,h,m,s,yout
1999,5,31,0,0,0,60.997
1999,6,1,0,0,0,60.352
1999,6,2,0,0,0,60.212
1999,6,3,0,0,0,62.09
1999,6,4,0,0,0,65.12
1999,6,5,0,0,0,63.703
1999,6,6,0,0,0,61.735
1999,6,7,0,0,0,62.498
1999,6,8,0,0,0,62.81
1999,6,9,0,0,0,63.662
1999,6,10,0,0,0,64.891
1999,6,11,0,0,0,65.55
1999,6,12,0,0,0,64.661
1999,6,13,0,0,0,60.671
1999,6,14,0,0,0,61.301
1999,6,15,0,0,0,62.886
1999,6,16,0,0,0,63.546
1999,6,17,0,0,0,64.205
1999,6,18,0,0,0,64.856
1999,6,19,0,0,0,64.543
1999,6,20,0,0,0,63.915
1999,6,21,0,0,0,62.789
1999,6,22,0,0,0,60.019
1999,6,23,0,0,0,60.204
1999,6,24,0,0,0,62.253
1999,6,25,0,0,0,64.253
1999,6,26,0,0,0,63.936
1999,6,27,0,0,0,63.832
1999,6,28,0,0,0,64.111
1999,6,29,0,0,0,64.763
1999,6,30,0,0,0,66.675
1999,7,1,0,0,0,68.258
1999,7,2,0,0,0,67.989
1999,7,3,0,0,0,60.47
1999,7,4,0,0,0,58.351
1999,7,5,0,0,0,60.878
1999,7,6,0,0,0,63.537
1999,7,7,0,0,0,62.693
1999,7,8,0,0,0,65.282
1999,7,9,0,0,0,63.413
1999,7,10,0,0,0,60.758
1999,7,11,0,0,0,60.764
1999,7,12,0,0,0,63.827
1999,7,13,0,0,0,66.698
1999,7,14,0,0,0,65.309
1999,7,15,0,0,0,63.175
1999,7,16,0,0,0,58.775
1999,7,17,0,0,0,56.375
1999,7,18,0,0,0,54.109
1999,7,19,0,0,0,55.907
1999,7,20,0,0,0,59.01
1999,7,21,0,0,0,60.577
1999,7,22,0,0,0,60.744
1999,7,23,0,0,0,62.75
1999,7,24,0,0,0,63.544
1999,7,25,0,0,0,64.702
1999,7,26,0,0,0,64.91
1999,7,27,0,0,0,63.922
1999,7,28,0,0,0,62.7
1999,7,29,0,0,0,62.744
1999,7,30,0,0,0,63.236
1999,7,31,0,0,0,61.08
1999,8,1,0,0,0,62.569
1999,8,2,0,0,0,63.903
1999,8,3,0,0,0,61.51
1999,8,4,0,0,0,59.574
1999,8,5,0,0,0,60.117
1999,8,6,0,0,0,61.51
1999,8,7,0,0,0,60.697
1999,8,8,0,0,0,61.713
1999,8,9,0,0,0,64.146
1999,8,10,0,0,0,65.802
1999,8,11,0,0,0,65.607
1999,8,12,0,0,0,63.912
1999,8,13,0,0,0,66.549
1999,8,14,0,0,0,67.498
1999,8,15,0,0,0,64.903
1999,8,16,0,0,0,62.411
1999,8,17,0,0,0,62.035
1999,8,18,0,0,0,62.998
1999,8,19,0,0,0,65.338
1999,8,20,0,0,0,65.056
1999,8,21,0,0,0,62.853
1999,8,22,0,0,0,65.389
1999,8,23,0,0,0,68.36
1999,8,24,0,0,0,70.507
1999,8,25,0,0,0,70.774
1999,8,26,0,0,0,70.581
1999,8,27,0,0,0,69.192
1999,8,28,0,0,0,68.357
1999,8,29,0,0,0,68.741
1999,8,30,0,0,0,69.578
1999,8,31,0,0,0,68.241
1999,9,1,0,0,0,69.261
1999,9,2,0,0,0,70.187
1999,9,3,0,0,0,70.221
1999,9,4,0,0,0,70.885
1999,9,5,0,0,0,69.587
1999,9,6,0,0,0,67.865
1999,9,7,0,0,0,66.127
1999,9,8,0,0,0,64.657
1999,9,9,0,0,0,64.615
1999,9,10,0,0,0,66.661
1999,9,11,0,0,0,65.594
1999,9,12,0,0,0,64.869
1999,9,13,0,0,0,62.831
1999,9,14,0,0,0,60.544
1999,9,15,0,0,0,61.228
1999,9,16,0,0,0,65.42
1999,9,17,0,0,0,64.438
1999,9,18,0,0,0,65.903
1999,9,19,0,0,0,66.891
1999,9,20,0,0,0,66.186
1999,9,21,0,0,0,65.562
1999,9,22,0,0,0,68.555
1999,9,23,0,0,0,69.336
1999,9,24,0,0,0,69.207
1999,9,25,0,0,0,70.843
1999,9,26,0,0,0,71.306
1999,9,27,0,0,0,71.952
1999,9,28,0,0,0,72.104
1999,9,29,0,0,0,72.377
1999,9,30,0,0,0,72.674
1999,10,1,0,0,0,71.923
1999,10,2,0,0,0,71.264
1999,10,3,0,0,0,71.083
1999,10,4,0,0,0,70.33
1999,10,5,0,0,0,70.682
1999,10,6,0,0,0,70.219
1999,10,7,0,0,0,68.081
1999,10,8,0,0,0,63.613
1999,10,9,0,0,0,60.145
1999,10,10,0,0,0,65.306
1999,10,11,0,0,0,68.607
1999,10,12,0,0,0,65.21
1999,10,13,0,0,0,68.395
1999,10,14,0,0,0,68.775
1999,10,15,0,0,0,67.345
1999,10,16,0,0,0,68.36
1999,10,17,0,0,0,68.515
1999,10,18,0,0,0,69.03
1999,10,19,0,0,0,69.3
1999,10,20,0,0,0,68.806
1999,10,21,0,0,0,68.815
1999,10,22,0,0,0,68.826
1999,10,23,0,0,0,68.835
1999,10,24,0,0,0,68.845
1999,10,25,0,0,0,68.854
1999,10,26,0,0,0,69.198
1999,10,27,0,0,0,69.795
1999,10,28,0,0,0,65.74
1999,10,29,0,0,0,65.472
1999,10,30,0,0,0,65.546
1999,10,31,0,0,0,65.706
1999,11,1,0,0,0,65.851
1999,11,2,0,0,0,66.068
1999,11,3,0,0,0,65.41
1999,11,4,0,0,0,63.493
1999,11,5,0,0,0,61.992
1999,11,6,0,0,0,63.864
1999,11,7,0,0,0,64.211
1999,11,8,0,0,0,63.848
1999,11,9,0,0,0,61.417
1999,11,10,0,0,0,63.811
1999,11,11,0,0,0,63.659
1999,11,12,0,0,0,63.402
1999,11,13,0,0,0,65.075
1999,11,14,0,0,0,66.661
1999,11,15,0,0,0,68.208
1999,11,16,0,0,0,68.785
1999,11,17,0,0,0,69.019
1999,11,18,0,0,0,67.166
1999,11,19,0,0,0,65.049
1999,11,20,0,0,0,65.359
1999,11,21,0,0,0,66.953
1999,11,22,0,0,0,67.724
1999,11,23,0,0,0,67.431
1999,11,24,0,0,0,67.224
1999,11,25,0,0,0,67.001
1999,11,26,0,0,0,66.936
1999,11,27,0,0,0,68.973
1999,11,28,0,0,0,64.231
1999,11,29,0,0,0,64.917
1999,11,30,0,0,0,69.63
1999,12,1,0,0,0,69.118
1999,12,2,0,0,0,70.978
1999,12,3,0,0,0,71.082
1999,12,4,0,0,0,71.071
1999,12,5,0,0,0,70.61
1999,12,6,0,0,0,70.023
1999,12,7,0,0,0,68.712
1999,12,8,0,0,0,69.522
1999,12,9,0,0,0,69.244
1999,12,10,0,0,0,69.013
1999,12,11,0,0,0,69.691
1999,12,12,0,0,0,70.369
1999,12,13,0,0,0,71.047
1999,12,14,0,0,0,71.723
1999,12,15,0,0,0,71.854
1999,12,16,0,0,0,72.754
1999,12,17,0,0,0,71.777
1999,12,18,0,0,0,71.299
1999,12,19,0,0,0,69.187
1999,12,20,0,0,0,66.717
1999,12,21,0,0,0,68.327
1999,12,22,0,0,0,70.392
1999,12,23,0,0,0,71.936
1999,12,24,0,0,0,70.856
1999,12,25,0,0,0,69.914
1999,12,26,0,0,0,70.162
1999,12,27,0,0,0,69.224
1999,12,28,0,0,0,69.436
1999,12,29,0,0,0,67.557
1999,12,30,0,0,0,68.665
1999,12,31,0,0,0,67.438
2000,1,1,0,0,0,68.274
2000,1,2,0,0,0,69.409
2000,1,3,0,0,0,70.852
2000,1,4,0,0,0,73.286
2000,1,5,0,0,0,73.036
2000,1,6,0,0,0,71.733
2000,1,7,0,0,0,72.705
2000,1,8,0,0,0,73.554
2000,1,9,0,0,0,74.365
2000,1,10,0,0,0,75.005
2000,1,11,0,0,0,71.293
2000,1,12,0,0,0,71.151
2000,1,13,0,0,0,68.765
2000,1,14,0,0,0,70.335
2000,1,15,0,0,0,69.109
2000,1,16,0,0,0,68.794
2000,1,17,0,0,0,68.532
2000,1,18,0,0,0,68.433
2000,1,19,0,0,0,69.696
2000,1,20,0,0,0,73.688
2000,1,21,0,0,0,74.525
2000,1,22,0,0,0,74.306
2000,1,23,0,0,0,73.869
2000,1,24,0,0,0,69.187
2000,1,25,0,0,0,69.311
2000,1,26,0,0,0,72.605
2000,1,27,0,0,0,70.397
2000,1,28,0,0,0,71.153
2000,1,29,0,0,0,70.89
2000,1,30,0,0,0,71.796
2000,1,31,0,0,0,73.067
2000,2,1,0,0,0,75.54
2000,2,2,0,0,0,76.372
2000,2,3,0,0,0,75.821
2000,2,4,0,0,0,76.564
2000,2,5,0,0,0,76.558
2000,2,6,0,0,0,77.059
2000,2,7,0,0,0,76.25
2000,2,8,0,0,0,77.268
2000,2,9,0,0,0,78.468
2000,2,10,0,0,0,77.161
2000,2,11,0,0,0,76.72
2000,2,12,0,0,0,77.827
2000,2,13,0,0,0,76.551
2000,2,14,0,0,0,75.169
2000,2,15,0,0,0,73.627
2000,2,16,0,0,0,73.27
2000,2,17,0,0,0,72.842
2000,2,18,0,0,0,71.665
2000,2,19,0,0,0,73.039
2000,2,20,0,0,0,75.09
2000,2,21,0,0,0,75.593
2000,2,22,0,0,0,76.409
2000,2,23,0,0,0,73.995
2000,2,24,0,0,0,74.936
2000,2,25,0,0,0,73.048
2000,2,26,0,0,0,74.521
2000,2,27,0,0,0,75.967
2000,2,28,0,0,0,76.744
2000,2,29,0,0,0,76.384
2000,3,1,0,0,0,75.653
2000,3,2,0,0,0,74.34
2000,3,3,0,0,0,72.614
2000,3,4,0,0,0,72.334
2000,3,5,0,0,0,73.633
2000,3,6,0,0,0,74.999
2000,3,7,0,0,0,76.367
2000,3,8,0,0,0,72.891
2000,3,9,0,0,0,72.365
2000,3,10,0,0,0,72.593
2000,3,11,0,0,0,74.768
2000,3,12,0,0,0,74.081
2000,3,13,0,0,0,71.982
2000,3,14,0,0,0,72.724
2000,3,15,0,0,0,74.612
2000,3,16,0,0,0,76.201
2000,3,17,0,0,0,74.201
2000,3,18,0,0,0,72.831
2000,3,19,0,0,0,74.238
2000,3,20,0,0,0,76.475
2000,3,21,0,0,0,76.084
2000,3,22,0,0,0,76.405
2000,3,23,0,0,0,72.072
2000,3,24,0,0,0,70.569
2000,3,25,0,0,0,70.618
2000,3,26,0,0,0,70.327
2000,3,27,0,0,0,70.875
2000,3,28,0,0,0,71.104
2000,3,29,0,0,0,71.88
2000,3,30,0,0,0,72.438
2000,3,31,0,0,0,73.836
2000,4,1,0,0,0,73.477
2000,4,2,0,0,0,74.001
2000,4,3,0,0,0,72.702
2000,4,4,0,0,0,72.142
2000,4,5,0,0,0,73.178
2000,4,6,0,0,0,71.285
2000,4,7,0,0,0,69.391
2000,4,8,0,0,0,67.498
2000,4,9,0,0,0,65.762
2000,4,10,0,0,0,65.417
2000,4,11,0,0,0,68.912
2000,4,12,0,0,0,70.346
2000,4,13,0,0,0,71.282
2000,4,14,0,0,0,71.887
2000,4,15,0,0,0,71.824
2000,4,16,0,0,0,71.799
2000,4,17,0,0,0,71.518
2000,4,18,0,0,0,69.133
2000,4,19,0,0,0,68.7
2000,4,20,0,0,0,70.052
2000,4,21,0,0,0,70.205
2000,4,22,0,0,0,70.891
2000,4,23,0,0,0,72.035
2000,4,24,0,0,0,72.779
2000,4,25,0,0,0,73.224
2000,4,26,0,0,0,74.491
2000,4,27,0,0,0,75.514
2000,4,28,0,0,0,75.36
2000,4,29,0,0,0,74.973
2000,4,30,0,0,0,74.537
2000,5,1,0,0,0,74.293
2000,5,2,0,0,0,74.294
2000,5,3,0,0,0,74.34
2000,5,4,0,0,0,73.866
2000,5,5,0,0,0,70.648
2000,5,6,0,0,0,71.648
2000,5,7,0,0,0,70.744
2000,5,8,0,0,0,69.491
2000,5,9,0,0,0,70.301
2000,5,10,0,0,0,70.552
2000,5,11,0,0,0,71.094
2000,5,12,0,0,0,66.463
2000,5,13,0,0,0,67.952
2000,5,14,0,0,0,69.411
2000,5,15,0,0,0,70.978
2000,5,16,0,0,0,72.474
2000,5,17,0,0,0,74.479
2000,5,18,0,0,0,75.12
2000,5,19,0,0,0,73.46
2000,5,20,0,0,0,73.989
2000,5,21,0,0,0,73.276
2000,5,22,0,0,0,73.119
2000,5,23,0,0,0,75.548
2000,5,24,0,0,0,75.162
2000,5,25,0,0,0,73.838
2000,5,26,0,0,0,72.337
2000,5,27,0,0,0,72.09
2000,5,28,0,0,0,71.468
2000,5,29,0,0,0,70.059
2000,5,30,0,0,0,68.966
2000,5,31,0,0,0,67.632
2000,6,1,0,0,0,67.017
2000,6,2,0,0,0,66.934
2000,6,3,0,0,0,68.156
2000,6,4,0,0,0,68.424
2000,6,5,0,0,0,72.783
2000,6,6,0,0,0,74.366
2000,6,7,0,0,0,73.629
2000,6,8,0,0,0,73.76
2000,6,9,0,0,0,75.841
2000,6,10,0,0,0,73.986
2000,6,11,0,0,0,74.358
2000,6,12,0,0,0,74.778
2000,6,13,0,0,0,74.646
2000,6,14,0,0,0,74.845
2000,6,15,0,0,0,75.78
2000,6,16,0,0,0,76.889
2000,6,17,0,0,0,77.02
2000,6,18,0,0,0,77.293
2000,6,19,0,0,0,77.688
2000,6,20,0,0,0,77.256
2000,6,21,0,0,0,75.961
2000,6,22,0,0,0,73.786
2000,6,23,0,0,0,71.235
2000,6,24,0,0,0,70.866
2000,6,25,0,0,0,71.169
2000,6,26,0,0,0,69.868
2000,6,27,0,0,0,67.663
2000,6,28,0,0,0,64.732
2000,6,29,0,0,0,64.695
2000,6,30,0,0,0,64.84
2000,7,1,0,0,0,64.674
2000,7,2,0,0,0,60.756
2000,7,3,0,0,0,59.312
2000,7,4,0,0,0,57.147
2000,7,5,0,0,0,54.981
2000,7,6,0,0,0,53.538
2000,7,7,0,0,0,52.094
2000,7,8,0,0,0,52.962
2000,7,9,0,0,0,54.643
2000,7,10,0,0,0,56.453
2000,7,11,0,0,0,57.005
2000,7,12,0,0,0,55.835
2000,7,13,0,0,0,54.86
2000,7,14,0,0,0,54.443
2000,7,15,0,0,0,53.016
2000,7,16,0,0,0,50.478
2000,7,17,0,0,0,50.232
2000,7,18,0,0,0,50.141
2000,7,19,0,0,0,50.081
2000,7,20,0,0,0,50.033
2000,7,21,0,0,0,50.348
2000,7,22,0,0,0,50.491
2000,7,23,0,0,0,53.668
2000,7,24,0,0,0,55.557
2000,7,25,0,0,0,58.457
2000,7,26,0,0,0,58.92
2000,7,27,0,0,0,59.18
2000,7,28,0,0,0,57.893
2000,7,29,0,0,0,58.238
2000,7,30,0,0,0,58.468
2000,7,31,0,0,0,59.011
2000,8,1,0,0,0,60.461
2000,8,2,0,0,0,60.335
2000,8,3,0,0,0,58.622
2000,8,4,0,0,0,57.612
2000,8,5,0,0,0,57.409
2000,8,6,0,0,0,57.241
2000,8,7,0,0,0,57.159
2000,8,8,0,0,0,58.016
2000,8,9,0,0,0,60.183
2000,8,10,0,0,0,60.827
2000,8,11,0,0,0,60.511
2000,8,12,0,0,0,62.14
2000,8,13,0,0,0,63.351
2000,8,14,0,0,0,64.385
2000,8,15,0,0,0,65.171
2000,8,16,0,0,0,63.886
2000,8,17,0,0,0,61.599
2000,8,18,0,0,0,56.8
2000,8,19,0,0,0,52.577
2000,8,20,0,0,0,55.337
2000,8,21,0,0,0,57.657
2000,8,22,0,0,0,57.799
2000,8,23,0,0,0,58.065
2000,8,24,0,0,0,59.531
2000,8,25,0,0,0,59.166
2000,8,26,0,0,0,58.195
2000,8,27,0,0,0,56.941
2000,8,28,0,0,0,56.964
2000,8,29,0,0,0,56.944
2000,8,30,0,0,0,53.447
2000,8,31,0,0,0,53.743
2000,9,1,0,0,0,56.56
2000,9,2,0,0,0,57.492
2000,9,3,0,0,0,59.203
2000,9,4,0,0,0,58.496
2000,9,5,0,0,0,58.129
2000,9,6,0,0,0,60.064
2000,9,7,0,0,0,59.037
2000,9,8,0,0,0,58.61
2000,9,9,0,0,0,58.102
2000,9,10,0,0,0,58.366
2000,9,11,0,0,0,60.524
2000,9,12,0,0,0,60.388
2000,9,13,0,0,0,60.018
2000,9,14,0,0,0,59.812
2000,9,15,0,0,0,60.964
2000,9,16,0,0,0,61.962
2000,9,17,0,0,0,61.851
2000,9,18,0,0,0,63.036
2000,9,19,0,0,0,64.94
2000,9,20,0,0,0,65.902
2000,9,21,0,0,0,63.1
2000,9,22,0,0,0,60.564
2000,9,23,0,0,0,60.008
2000,9,24,0,0,0,59.776
2000,9,25,0,0,0,60.682
2000,9,26,0,0,0,65.492
2000,9,27,0,0,0,67.207
2000,9,28,0,0,0,66.788
2000,9,29,0,0,0,66.867
2000,9,30,0,0,0,64.763
2000,10,1,0,0,0,63.761
2000,10,2,0,0,0,61.898
2000,10,3,0,0,0,60.68
2000,10,4,0,0,0,63.338
2000,10,5,0,0,0,66.369
2000,10,6,0,0,0,68.219
2000,10,7,0,0,0,65.984
2000,10,8,0,0,0,67.084
2000,10,9,0,0,0,66.696
2000,10,10,0,0,0,66.326
2000,10,11,0,0,0,66.088
2000,10,12,0,0,0,66.889
2000,10,13,0,0,0,68.239
2000,10,14,0,0,0,67.669
2000,10,15,0,0,0,67.069
2000,10,16,0,0,0,67.901
2000,10,17,0,0,0,69.113
2000,10,18,0,0,0,68.036
2000,10,19,0,0,0,65.685
2000,10,20,0,0,0,65.823
2000,10,21,0,0,0,64.776
2000,10,22,0,0,0,62.959
2000,10,23,0,0,0,62.477
2000,10,24,0,0,0,61.136
2000,10,25,0,0,0,60.335
2000,10,26,0,0,0,61.478
2000,10,27,0,0,0,62.876
2000,10,28,0,0,0,64.741
2000,10,29,0,0,0,63.978
2000,10,30,0,0,0,62.605
2000,10,31,0,0,0,65.989
2000,11,1,0,0,0,65.957
2000,11,2,0,0,0,62.327
2000,11,3,0,0,0,58.185
2000,11,4,0,0,0,57.235
2000,11,5,0,0,0,56.579
2000,11,6,0,0,0,58.024
2000,11,7,0,0,0,59.809
2000,11,8,0,0,0,56.595
2000,11,9,0,0,0,56.65
2000,11,10,0,0,0,57.051
2000,11,11,0,0,0,57.317
2000,11,12,0,0,0,57.853
2000,11,13,0,0,0,57.571
2000,11,14,0,0,0,58.813
2000,11,15,0,0,0,58.5
2000,11,16,0,0,0,60.594
2000,11,17,0,0,0,62.384
2000,11,18,0,0,0,63.752
2000,11,19,0,0,0,64.03
2000,11,20,0,0,0,64.473
2000,11,21,0,0,0,62.142
2000,11,22,0,0,0,61.561
2000,11,23,0,0,0,63.983
2000,11,24,0,0,0,63.431
2000,11,25,0,0,0,62.959
2000,11,26,0,0,0,62.635
2000,11,27,0,0,0,62.246
2000,11,28,0,0,0,62.231
2000,11,29,0,0,0,63.662
2000,11,30,0,0,0,65.013
2000,12,1,0,0,0,66.616
2000,12,2,0,0,0,65.015
2000,12,3,0,0,0,64.335
2000,12,4,0,0,0,64.05
2000,12,5,0,0,0,62.534
2000,12,6,0,0,0,62.716
2000,12,7,0,0,0,60.75
2000,12,8,0,0,0,60.146
2000,12,9,0,0,0,59.563
2000,12,10,0,0,0,59.848
2000,12,11,0,0,0,59.152
2000,12,12,0,0,0,59.777
2000,12,13,0,0,0,61.848
2000,12,14,0,0,0,61.016
2000,12,15,0,0,0,60.773
2000,12,16,0,0,0,60.209
2000,12,17,0,0,0,61.445
2000,12,18,0,0,0,61.98
2000,12,19,0,0,0,61.532
2000,12,20,0,0,0,61.126
2000,12,21,0,0,0,61.138
2000,12,22,0,0,0,62.369
2000,12,23,0,0,0,64.366
2000,12,24,0,0,0,63.942
2000,12,25,0,0,0,63.256
2000,12,26,0,0,0,64.019
2000,12,27,0,0,0,65.324
2000,12,28,0,0,0,65.723
2000,12,29,0,0,0,62.935
2000,12,30,0,0,0,64.077
2000,12,31,0,0,0,65.281
2001,1,1,0,0,0,66.41
2001,1,2,0,0,0,67.193
2001,1,3,0,0,0,66.597
2001,1,4,0,0,0,66.541
2001,1,5,0,0,0,68.83
2001,1,6,0,0,0,68.84
2001,1,7,0,0,0,67.441
2001,1,8,0,0,0,67.196
2001,1,9,0,0,0,66.154
2001,1,10,0,0,0,63.945
2001,1,11,0,0,0,60.914
2001,1,12,0,0,0,61.837
2001,1,13,0,0,0,62.114
2001,1,14,0,0,0,65.106
2001,1,15,0,0,0,62.369
2001,1,16,0,0,0,66.282
2001,1,17,0,0,0,66.075
2001,1,18,0,0,0,65.466
2001,1,19,0,0,0,67.556
2001,1,20,0,0,0,67.49
2001,1,21,0,0,0,67.207
2001,1,22,0,0,0,67.594
2001,1,23,0,0,0,69.691
2001,1,24,0,0,0,70.509
2001,1,25,0,0,0,68.851
2001,1,26,0,0,0,70.383
2001,1,27,0,0,0,72.434
2001,1,28,0,0,0,73.841
2001,1,29,0,0,0,70.655
2001,1,30,0,0,0,70.604
2001,1,31,0,0,0,69.148
2001,2,1,0,0,0,66.633
2001,2,2,0,0,0,66.735
2001,2,3,0,0,0,66.933
2001,2,4,0,0,0,68.438
2001,2,5,0,0,0,68.413
2001,2,6,0,0,0,68.792
2001,2,7,0,0,0,70.675
2001,2,8,0,0,0,68.032
2001,2,9,0,0,0,69.785
2001,2,10,0,0,0,69.793
2001,2,11,0,0,0,64.559
2001,2,12,0,0,0,66.754
2001,2,13,0,0,0,64.815
2001,2,14,0,0,0,65.178
2001,2,15,0,0,0,66.714
2001,2,16,0,0,0,66.641
2001,2,17,0,0,0,66.274
2001,2,18,0,0,0,67.292
2001,2,19,0,0,0,68.486
2001,2,20,0,0,0,67.055
2001,2,21,0,0,0,65.812
2001,2,22,0,0,0,66.577
2001,2,23,0,0,0,66.393
2001,2,24,0,0,0,66.1
2001,2,25,0,0,0,63.117
2001,2,26,0,0,0,63.192
2001,2,27,0,0,0,66.619
2001,2,28,0,0,0,66.097
2001,3,1,0,0,0,65.709
2001,3,2,0,0,0,64.533
2001,3,3,0,0,0,67.897
2001,3,4,0,0,0,66.343
2001,3,5,0,0,0,64.807
2001,3,6,0,0,0,65.856
2001,3,7,0,0,0,65.708
2001,3,8,0,0,0,65.543
2001,3,9,0,0,0,65.69
2001,3,10,0,0,0,65.902
2001,3,11,0,0,0,66.151
2001,3,12,0,0,0,66.998
2001,3,13,0,0,0,67.707
2001,3,14,0,0,0,66.841
2001,3,15,0,0,0,69.029
2001,3,16,0,0,0,67.072
2001,3,17,0,0,0,67
2001,3,18,0,0,0,66.527
2001,3,19,0,0,0,65.179
2001,3,20,0,0,0,63.753
2001,3,21,0,0,0,63.681
2001,3,22,0,0,0,65.421
2001,3,23,0,0,0,64.166
2001,3,24,0,0,0,64.667
2001,3,25,0,0,0,66.712
2001,3,26,0,0,0,68.873
2001,3,27,0,0,0,68.131
2001,3,28,0,0,0,67.798
2001,3,29,0,0,0,67.219
2001,3,30,0,0,0,70.037
2001,3,31,0,0,0,67.686
2001,4,1,0,0,0,65.699
