Y,M,D,h,m,s,SPADS,ShoreFor,Obs
1999,2,24,0,0,0,62.425,61.575,57.394
1999,2,25,0,0,0,62.866,61.547,58.338
1999,2,26,0,0,0,63.226,61.43,59.278
1999,2,27,0,0,0,63.503,61.12,60.051
1999,2,28,0,0,0,63.649,60.868,60.255
1999,3,1,0,0,0,63.544,60.992,59.726
1999,3,2,0,0,0,63.115,61.233,59.02
1999,3,3,0,0,0,62.391,61.434,58.288
1999,3,4,0,0,0,61.481,61.62,57.345
1999,3,5,0,0,0,60.511,61.673,56.59
1999,3,6,0,0,0,59.614,61.495,56.015
1999,3,7,0,0,0,58.881,61.267,55.684
1999,3,8,0,0,0,58.366,61.138,55.678
1999,3,9,0,0,0,58.14,61.091,55.826
1999,3,10,0,0,0,58.274,61.044,56.028
1999,3,11,0,0,0,58.766,60.977,56.469
1999,3,12,0,0,0,59.55,60.936,56.784
1999,3,13,0,0,0,60.564,60.892,57
1999,3,14,0,0,0,61.697,60.965,57.027
1999,3,15,0,0,0,62.75,61.201,57.411
1999,3,16,0,0,0,63.525,61.444,57.819
1999,3,17,0,0,0,63.983,61.671,58.22
1999,3,18,0,0,0,64.194,61.913,58.583
1999,3,19,0,0,0,64.258,62.126,58.701
1999,3,20,0,0,0,64.253,62.293,58.685
1999,3,21,0,0,0,64.195,62.473,59.008
1999,3,22,0,0,0,64.054,62.661,59.127
1999,3,23,0,0,0,63.752,62.842,59.04
1999,3,24,0,0,0,63.215,62.899,58.845
1999,3,25,0,0,0,62.438,62.872,58.582
1999,3,26,0,0,0,61.561,62.78,58.409
1999,3,27,0,0,0,60.813,62.598,58.283
1999,3,28,0,0,0,60.36,62.457,58.155
1999,3,29,0,0,0,60.292,62.305,58.264
1999,3,30,0,0,0,60.558,62.13,58.548
1999,3,31,0,0,0,60.984,62.024,58.531
1999,4,1,0,0,0,61.348,61.987,58.758
1999,4,2,0,0,0,61.489,62.005,58.92
1999,4,3,0,0,0,61.307,62.112,58.769
1999,4,4,0,0,0,60.721,62.295,58.716
1999,4,5,0,0,0,59.749,62.505,58.544
1999,4,6,0,0,0,58.662,62.407,58.262
1999,4,7,0,0,0,57.802,61.728,58.311
1999,4,8,0,0,0,57.414,61.104,58.139
1999,4,9,0,0,0,57.563,60.782,58.107
1999,4,10,0,0,0,58.156,60.505,58.548
1999,4,11,0,0,0,59.012,60.38,59.055
1999,4,12,0,0,0,59.983,60.421,59.619
1999,4,13,0,0,0,60.96,60.548,60.087
1999,4,14,0,0,0,61.887,60.716,60.577
1999,4,15,0,0,0,62.721,60.939,61.211
1999,4,16,0,0,0,63.41,61.063,62.097
1999,4,17,0,0,0,63.877,61.112,62.251
1999,4,18,0,0,0,64.061,61.258,62.279
1999,4,19,0,0,0,63.879,61.492,62.201
1999,4,20,0,0,0,63.301,61.763,62.172
1999,4,21,0,0,0,62.382,62.046,61.637
1999,4,22,0,0,0,61.223,62.324,60.579
1999,4,23,0,0,0,59.931,62.581,59.066
1999,4,24,0,0,0,58.648,62.669,58.236
1999,4,25,0,0,0,57.585,62.458,57.58
1999,4,26,0,0,0,56.863,62.185,57.047
1999,4,27,0,0,0,56.527,62.018,56.327
1999,4,28,0,0,0,56.555,61.881,55.921
1999,4,29,0,0,0,56.902,61.774,56.089
1999,4,30,0,0,0,57.523,61.732,56.469
1999,5,1,0,0,0,58.426,61.271,57.403
1999,5,2,0,0,0,59.575,60.767,58.582
1999,5,3,0,0,0,60.841,60.724,59.685
1999,5,4,0,0,0,62.041,60.818,60.716
1999,5,5,0,0,0,63.021,61.012,61.533
1999,5,6,0,0,0,63.752,61.242,62.357
1999,5,7,0,0,0,64.297,61.394,63.371
1999,5,8,0,0,0,64.796,61.542,63.736
1999,5,9,0,0,0,65.257,61.777,63.602
1999,5,10,0,0,0,65.578,62.008,63.309
1999,5,11,0,0,0,65.66,62.224,63.235
1999,5,12,0,0,0,65.463,62.44,63.377
1999,5,13,0,0,0,64.984,62.68,63.147
1999,5,14,0,0,0,64.324,62.737,62.589
1999,5,15,0,0,0,63.661,62.456,62.202
1999,5,16,0,0,0,63.159,62.162,62.05
1999,5,17,0,0,0,62.896,61.964,62.036
1999,5,18,0,0,0,62.865,61.914,62.276
1999,5,19,0,0,0,63.022,62.054,62.714
1999,5,20,0,0,0,63.284,62.225,62.891
1999,5,21,0,0,0,63.597,62.435,63.181
1999,5,22,0,0,0,63.936,62.65,63.459
1999,5,23,0,0,0,64.278,62.875,63.722
1999,5,24,0,0,0,64.562,63.096,64.115
1999,5,25,0,0,0,64.764,63.309,64.294
1999,5,26,0,0,0,64.855,63.518,64.369
1999,5,27,0,0,0,64.765,63.571,64.325
1999,5,28,0,0,0,64.442,63.47,64.058
1999,5,29,0,0,0,63.939,63.417,63.575
1999,5,30,0,0,0,63.397,63.45,62.945
1999,5,31,0,0,0,62.961,63.47,62.435
1999,6,1,0,0,0,62.746,63.432,62.362
1999,6,2,0,0,0,62.815,63.387,62.094
1999,6,3,0,0,0,63.139,63.455,62.03
1999,6,4,0,0,0,63.602,63.654,62.244
1999,6,5,0,0,0,64.114,63.797,62.595
1999,6,6,0,0,0,64.613,63.892,63.088
1999,6,7,0,0,0,65.059,63.951,63.488
1999,6,8,0,0,0,65.416,64.003,63.55
1999,6,9,0,0,0,65.605,64.109,63.687
1999,6,10,0,0,0,65.556,64.247,63.535
1999,6,11,0,0,0,65.232,64.415,63.364
1999,6,12,0,0,0,64.73,64.623,63.375
1999,6,13,0,0,0,64.264,64.531,63.358
1999,6,14,0,0,0,63.999,64.148,63.26
1999,6,15,0,0,0,64.033,63.911,63.161
1999,6,16,0,0,0,64.35,63.774,63.144
1999,6,17,0,0,0,64.838,63.75,63.607
1999,6,18,0,0,0,65.392,63.901,63.82
1999,6,19,0,0,0,65.851,64.097,63.41
1999,6,20,0,0,0,66.072,64.264,62.933
1999,6,21,0,0,0,66.073,64.433,62.654
1999,6,22,0,0,0,65.939,64.425,62.568
1999,6,23,0,0,0,65.733,64.31,62.481
1999,6,24,0,0,0,65.562,64.288,62.469
1999,6,25,0,0,0,65.546,64.308,62.658
1999,6,26,0,0,0,65.698,64.417,63.336
1999,6,27,0,0,0,65.905,64.577,64.26
1999,6,28,0,0,0,66.05,64.805,65.118
1999,6,29,0,0,0,66.029,65.012,65.652
1999,6,30,0,0,0,65.79,65.144,65.157
1999,7,1,0,0,0,65.31,65.272,64.374
1999,7,2,0,0,0,64.686,65.379,63.912
1999,7,3,0,0,0,64.126,65.041,63.737
1999,7,4,0,0,0,63.796,64.391,63.168
1999,7,5,0,0,0,63.848,64.09,62.743
1999,7,6,0,0,0,64.291,64.161,62.089
1999,7,7,0,0,0,64.999,64.397,62.13
1999,7,8,0,0,0,65.797,64.652,62.475
1999,7,9,0,0,0,66.528,64.897,62.896
1999,7,10,0,0,0,67.091,65.086,63.348
1999,7,11,0,0,0,67.4,65.258,63.722
1999,7,12,0,0,0,67.318,65.433,63.421
1999,7,13,0,0,0,66.776,65.599,62.758
1999,7,14,0,0,0,65.868,65.769,62.132
1999,7,15,0,0,0,64.754,65.951,61.181
1999,7,16,0,0,0,63.653,65.933,60.05
1999,7,17,0,0,0,62.825,65.605,58.951
1999,7,18,0,0,0,62.481,65.201,58.275
1999,7,19,0,0,0,62.723,64.96,57.928
1999,7,20,0,0,0,63.412,64.964,58.496
1999,7,21,0,0,0,64.3,65.097,59.52
1999,7,22,0,0,0,65.141,65.266,61.033
1999,7,23,0,0,0,65.728,65.455,62.319
1999,7,24,0,0,0,65.944,65.634,63.021
1999,7,25,0,0,0,65.807,65.806,63.324
1999,7,26,0,0,0,65.429,66.006,63.61
1999,7,27,0,0,0,64.925,66.231,63.68
1999,7,28,0,0,0,64.416,66.516,63.328
1999,7,29,0,0,0,64.023,66.836,63.023
1999,7,30,0,0,0,63.791,67.142,62.879
1999,7,31,0,0,0,63.671,67.439,62.535
1999,8,1,0,0,0,63.604,67.722,62.088
1999,8,2,0,0,0,63.544,67.984,61.713
1999,8,3,0,0,0,63.513,67.87,61.466
1999,8,4,0,0,0,63.582,67.535,61.411
1999,8,5,0,0,0,63.837,67.391,61.289
1999,8,6,0,0,0,64.284,67.415,61.324
1999,8,7,0,0,0,64.829,67.572,61.937
1999,8,8,0,0,0,65.316,67.766,62.799
1999,8,9,0,0,0,65.664,67.978,63.341
1999,8,10,0,0,0,65.854,68.174,64.061
1999,8,11,0,0,0,65.894,68.337,65.032
1999,8,12,0,0,0,65.841,68.362,65.488
1999,8,13,0,0,0,65.75,68.29,65.24
1999,8,14,0,0,0,65.635,68.284,64.702
1999,8,15,0,0,0,65.535,68.374,64.329
1999,8,16,0,0,0,65.505,68.28,64.533
1999,8,17,0,0,0,65.641,68.039,64.32
1999,8,18,0,0,0,65.981,68.011,63.656
1999,8,19,0,0,0,66.481,68.173,63.726
1999,8,20,0,0,0,67.104,68.395,64.575
1999,8,21,0,0,0,67.809,68.439,65.786
1999,8,22,0,0,0,68.577,68.338,66.897
1999,8,23,0,0,0,69.384,68.423,67.646
1999,8,24,0,0,0,70.158,68.639,68.237
1999,8,25,0,0,0,70.894,68.831,69.023
1999,8,26,0,0,0,71.561,69.018,69.502
1999,8,27,0,0,0,72.073,69.183,69.676
1999,8,28,0,0,0,72.368,69.315,69.352
1999,8,29,0,0,0,72.513,69.443,69.136
1999,8,30,0,0,0,72.551,69.592,69.079
1999,8,31,0,0,0,72.468,69.754,69.227
1999,9,1,0,0,0,72.224,69.899,69.588
1999,9,2,0,0,0,71.732,70.034,69.709
1999,9,3,0,0,0,70.915,70.124,69.464
1999,9,4,0,0,0,69.717,70.218,69.162
1999,9,5,0,0,0,68.151,70.284,68.504
1999,9,6,0,0,0,66.376,70.263,67.708
1999,9,7,0,0,0,64.687,70.111,67.2
1999,9,8,0,0,0,63.329,69.731,66.444
1999,9,9,0,0,0,62.392,69.307,65.77
1999,9,10,0,0,0,61.831,69.054,65.051
1999,9,11,0,0,0,61.543,69.01,64.253
1999,9,12,0,0,0,61.38,69.062,63.763
1999,9,13,0,0,0,61.291,68.803,63.878
1999,9,14,0,0,0,61.297,68.333,63.561
1999,9,15,0,0,0,61.464,67.925,63.605
1999,9,16,0,0,0,61.874,67.622,63.894
1999,9,17,0,0,0,62.498,67.51,64.373
1999,9,18,0,0,0,63.294,67.453,65.09
1999,9,19,0,0,0,64.238,67.393,66.137
1999,9,20,0,0,0,65.287,67.329,66.696
1999,9,21,0,0,0,66.371,67.335,67.377
1999,9,22,0,0,0,67.411,67.474,68.083
1999,9,23,0,0,0,68.333,67.694,68.714
1999,9,24,0,0,0,69.118,67.916,69.537
1999,9,25,0,0,0,69.723,68.13,70.472
1999,9,26,0,0,0,70.12,68.335,71.018
1999,9,27,0,0,0,70.412,68.522,71.495
1999,9,28,0,0,0,70.726,68.643,71.883
1999,9,29,0,0,0,71.081,68.733,71.943
1999,9,30,0,0,0,71.414,68.844,71.911
1999,10,1,0,0,0,71.655,68.97,71.679
1999,10,2,0,0,0,71.726,69.123,71.476
1999,10,3,0,0,0,71.507,69.26,71.168
1999,10,4,0,0,0,70.912,69.371,70.512
1999,10,5,0,0,0,69.894,69.44,69.324
1999,10,6,0,0,0,68.538,69.448,67.736
1999,10,7,0,0,0,67.04,69.44,66.911
1999,10,8,0,0,0,65.68,69.218,66.665
1999,10,9,0,0,0,64.771,68.769,65.883
1999,10,10,0,0,0,64.492,68.452,65.622
1999,10,11,0,0,0,64.778,68.335,65.722
1999,10,12,0,0,0,65.407,68.307,66.255
1999,10,13,0,0,0,66.136,68.296,67.428
1999,10,14,0,0,0,66.795,68.329,67.887
1999,10,15,0,0,0,67.332,68.431,67.947
1999,10,16,0,0,0,67.784,68.566,68.531
1999,10,17,0,0,0,68.206,68.732,68.59
1999,10,18,0,0,0,68.581,68.904,68.596
1999,10,19,0,0,0,68.903,69.062,68.807
1999,10,20,0,0,0,69.158,69.276,68.875
1999,10,21,0,0,0,69.332,69.375,68.922
1999,10,22,0,0,0,69.432,69.309,68.897
1999,10,23,0,0,0,69.441,69.318,68.883
1999,10,24,0,0,0,69.371,69.403,69.024
1999,10,25,0,0,0,69.211,69.51,68.585
1999,10,26,0,0,0,68.901,69.599,68.106
1999,10,27,0,0,0,68.46,69.632,67.636
1999,10,28,0,0,0,67.92,69.536,67.187
1999,10,29,0,0,0,67.28,69.386,66.758
1999,10,30,0,0,0,66.528,69.27,66.311
1999,10,31,0,0,0,65.627,69.129,65.685
1999,11,1,0,0,0,64.592,68.981,65.364
1999,11,2,0,0,0,63.496,68.847,64.867
1999,11,3,0,0,0,62.458,68.726,64.626
1999,11,4,0,0,0,61.63,68.443,64.413
1999,11,5,0,0,0,61.133,67.743,64.127
1999,11,6,0,0,0,60.981,66.998,63.462
1999,11,7,0,0,0,61.133,66.518,63.234
1999,11,8,0,0,0,61.586,66.22,63.257
1999,11,9,0,0,0,62.331,66.073,63.459
1999,11,10,0,0,0,63.33,65.954,63.632
1999,11,11,0,0,0,64.501,65.315,63.982
1999,11,12,0,0,0,65.736,64.667,64.605
1999,11,13,0,0,0,66.871,64.681,65.657
1999,11,14,0,0,0,67.792,64.862,66.401
1999,11,15,0,0,0,68.376,65.043,66.902
1999,11,16,0,0,0,68.556,65.178,67.138
1999,11,17,0,0,0,68.459,65.163,67.178
1999,11,18,0,0,0,68.273,65.014,67.22
1999,11,19,0,0,0,68.172,64.709,67.151
1999,11,20,0,0,0,68.311,64.473,66.957
1999,11,21,0,0,0,68.708,64.451,66.701
1999,11,22,0,0,0,69.231,64.482,66.677
1999,11,23,0,0,0,69.768,64.616,66.947
1999,11,24,0,0,0,70.243,64.831,67.463
1999,11,25,0,0,0,70.553,65.109,67.074
1999,11,26,0,0,0,70.634,65.392,66.673
1999,11,27,0,0,0,70.567,65.506,66.987
1999,11,28,0,0,0,70.508,65.42,67.258
1999,11,29,0,0,0,70.59,65.299,67.826
1999,11,30,0,0,0,70.866,65.316,68.418
1999,12,1,0,0,0,71.313,65.48,68.718
1999,12,2,0,0,0,71.804,65.666,69.629
1999,12,3,0,0,0,72.161,65.84,70.359
1999,12,4,0,0,0,72.308,66.011,70.228
1999,12,5,0,0,0,72.216,66.209,70.285
1999,12,6,0,0,0,71.919,66.433,70.038
1999,12,7,0,0,0,71.522,66.649,69.742
1999,12,8,0,0,0,71.136,66.847,69.545
1999,12,9,0,0,0,70.811,67.034,69.51
1999,12,10,0,0,0,70.589,67.302,69.657
1999,12,11,0,0,0,70.462,67.638,70.087
1999,12,12,0,0,0,70.465,67.707,70.42
1999,12,13,0,0,0,70.623,67.595,70.921
1999,12,14,0,0,0,70.873,67.586,71.316
1999,12,15,0,0,0,71.101,67.688,71.546
1999,12,16,0,0,0,71.178,67.849,71.377
1999,12,17,0,0,0,70.985,68.062,70.759
1999,12,18,0,0,0,70.503,68.34,70.274
1999,12,19,0,0,0,69.857,68.431,70.065
1999,12,20,0,0,0,69.227,68.285,69.948
1999,12,21,0,0,0,68.814,68.105,69.816
1999,12,22,0,0,0,68.754,67.843,69.619
1999,12,23,0,0,0,68.966,67.745,69.758
1999,12,24,0,0,0,69.315,67.88,70.116
1999,12,25,0,0,0,69.655,67.968,70.274
1999,12,26,0,0,0,69.879,68.059,69.869
1999,12,27,0,0,0,69.955,68.138,69.402
1999,12,28,0,0,0,69.917,68.239,68.914
1999,12,29,0,0,0,69.829,68.351,68.68
1999,12,30,0,0,0,69.792,68.453,68.572
1999,12,31,0,0,0,69.944,68.528,68.804
2000,1,1,0,0,0,70.338,68.379,69.355
2000,1,2,0,0,0,70.941,68.201,70.137
2000,1,3,0,0,0,71.633,68.178,70.575
2000,1,4,0,0,0,72.258,68.264,71.328
2000,1,5,0,0,0,72.691,68.495,72.082
2000,1,6,0,0,0,72.885,68.763,72.79
2000,1,7,0,0,0,72.87,69,73.384
2000,1,8,0,0,0,72.632,69.197,73.099
2000,1,9,0,0,0,72.141,69.358,72.829
2000,1,10,0,0,0,71.491,69.473,72.405
2000,1,11,0,0,0,70.835,69.497,72.067
2000,1,12,0,0,0,70.27,69.435,71.432
2000,1,13,0,0,0,69.875,69.332,70.636
2000,1,14,0,0,0,69.704,69.246,69.711
2000,1,15,0,0,0,69.728,69.2,69.303
2000,1,16,0,0,0,69.852,69.203,69.095
2000,1,17,0,0,0,69.986,69.207,69.798
2000,1,18,0,0,0,70.124,69.151,70.397
2000,1,19,0,0,0,70.223,69.094,71.139
2000,1,20,0,0,0,70.206,69.137,71.864
2000,1,21,0,0,0,70.066,69.276,71.958
2000,1,22,0,0,0,69.885,69.436,72.083
2000,1,23,0,0,0,69.754,69.55,72.499
2000,1,24,0,0,0,69.694,69.569,72.028
2000,1,25,0,0,0,69.698,69.447,71.547
2000,1,26,0,0,0,69.752,69.3,71.059
2000,1,27,0,0,0,69.862,69.256,70.763
2000,1,28,0,0,0,70.06,69.325,71.317
2000,1,29,0,0,0,70.433,69.397,72.207
2000,1,30,0,0,0,71.068,69.19,72.745
2000,1,31,0,0,0,71.975,68.956,73.52
2000,2,1,0,0,0,73.071,69.025,74.293
2000,2,2,0,0,0,74.213,69.221,75.102
2000,2,3,0,0,0,75.216,69.41,75.854
2000,2,4,0,0,0,75.969,69.587,76.309
2000,2,5,0,0,0,76.437,69.749,76.556
2000,2,6,0,0,0,76.603,69.91,76.855
2000,2,7,0,0,0,76.447,70.083,77.047
2000,2,8,0,0,0,76.021,70.253,77.069
2000,2,9,0,0,0,75.357,70.415,77.25
2000,2,10,0,0,0,74.421,70.558,77.178
2000,2,11,0,0,0,73.215,70.691,77.024
2000,2,12,0,0,0,71.817,70.795,76.503
2000,2,13,0,0,0,70.412,70.85,75.761
2000,2,14,0,0,0,69.217,70.826,75.144
2000,2,15,0,0,0,68.473,70.7,74.422
2000,2,16,0,0,0,68.379,70.569,73.738
2000,2,17,0,0,0,68.926,70.44,73.529
2000,2,18,0,0,0,69.9,70.314,73.589
2000,2,19,0,0,0,71.004,70.284,73.987
2000,2,20,0,0,0,71.929,70.358,74.091
2000,2,21,0,0,0,72.522,70.5,74.39
2000,2,22,0,0,0,72.783,70.662,74.587
2000,2,23,0,0,0,72.77,70.705,74.799
2000,2,24,0,0,0,72.608,70.838,74.924
2000,2,25,0,0,0,72.442,70.981,75.088
2000,2,26,0,0,0,72.337,70.909,75.085
2000,2,27,0,0,0,72.25,70.856,75.322
2000,2,28,0,0,0,72.127,70.897,75.237
2000,2,29,0,0,0,71.948,71.006,75.175
2000,3,1,0,0,0,71.698,71.113,74.862
2000,3,2,0,0,0,71.444,71.082,74.529
2000,3,3,0,0,0,71.306,70.88,74.28
2000,3,4,0,0,0,71.338,70.815,74.277
2000,3,5,0,0,0,71.482,70.962,73.882
2000,3,6,0,0,0,71.617,71.044,73.6
2000,3,7,0,0,0,71.655,71.081,73.597
2000,3,8,0,0,0,71.558,71.148,73.945
2000,3,9,0,0,0,71.303,71.201,74.009
2000,3,10,0,0,0,70.94,71.217,73.578
2000,3,11,0,0,0,70.619,71.201,73.058
2000,3,12,0,0,0,70.449,71.238,73.303
2000,3,13,0,0,0,70.501,71.228,73.852
2000,3,14,0,0,0,70.823,71.151,74.081
2000,3,15,0,0,0,71.333,71.2,73.805
2000,3,16,0,0,0,71.881,71.354,73.827
2000,3,17,0,0,0,72.307,71.512,74.469
2000,3,18,0,0,0,72.503,71.667,74.949
2000,3,19,0,0,0,72.454,71.827,75.205
2000,3,20,0,0,0,72.185,71.991,74.615
2000,3,21,0,0,0,71.738,72.122,74.096
2000,3,22,0,0,0,71.195,72.216,73.78
2000,3,23,0,0,0,70.669,72.219,73.221
2000,3,24,0,0,0,70.291,72.171,72.421
2000,3,25,0,0,0,70.158,72.161,71.71
2000,3,26,0,0,0,70.257,72.224,71.064
2000,3,27,0,0,0,70.517,72.38,71.116
2000,3,28,0,0,0,70.797,72.624,71.583
2000,3,29,0,0,0,70.957,72.926,71.991
2000,3,30,0,0,0,70.921,73.205,72.516
2000,3,31,0,0,0,70.673,73.407,72.777
2000,4,1,0,0,0,70.245,73.543,72.925
2000,4,2,0,0,0,69.695,73.678,73.111
2000,4,3,0,0,0,69.047,73.799,72.946
2000,4,4,0,0,0,68.292,73.703,72.311
2000,4,5,0,0,0,67.429,73.465,71.457
2000,4,6,0,0,0,66.501,73.279,70.28
2000,4,7,0,0,0,65.646,73.029,69.239
2000,4,8,0,0,0,65.039,72.759,68.777
2000,4,9,0,0,0,64.786,72.489,68.373
2000,4,10,0,0,0,64.955,72.189,68.373
2000,4,11,0,0,0,65.524,71.962,68.729
2000,4,12,0,0,0,66.348,71.904,69.347
2000,4,13,0,0,0,67.173,71.932,70.21
2000,4,14,0,0,0,67.727,71.963,71.081
2000,4,15,0,0,0,67.893,72.021,71.113
2000,4,16,0,0,0,67.686,72.065,70.878
2000,4,17,0,0,0,67.251,72.042,70.702
2000,4,18,0,0,0,66.814,71.964,70.462
2000,4,19,0,0,0,66.602,71.841,70.328
2000,4,20,0,0,0,66.745,71.401,70.362
2000,4,21,0,0,0,67.31,70.969,70.542
2000,4,22,0,0,0,68.229,70.817,71.127
2000,4,23,0,0,0,69.362,70.822,71.954
2000,4,24,0,0,0,70.576,70.922,72.734
2000,4,25,0,0,0,71.744,70.825,73.47
2000,4,26,0,0,0,72.731,70.804,74.054
2000,4,27,0,0,0,73.44,70.97,74.411
2000,4,28,0,0,0,73.838,71.106,74.628
2000,4,29,0,0,0,73.935,71.238,74.78
2000,4,30,0,0,0,73.76,71.405,74.759
2000,5,1,0,0,0,73.322,71.584,74.523
2000,5,2,0,0,0,72.692,71.749,73.85
2000,5,3,0,0,0,71.995,71.882,73.375
2000,5,4,0,0,0,71.314,72.014,72.833
2000,5,5,0,0,0,70.628,72.134,72.147
2000,5,6,0,0,0,69.885,72.227,71.577
2000,5,7,0,0,0,69.042,72.315,71.036
2000,5,8,0,0,0,68.08,72.25,70.64
2000,5,9,0,0,0,66.969,72.163,70.042
2000,5,10,0,0,0,65.726,72.166,69.514
2000,5,11,0,0,0,64.537,72.099,69.323
2000,5,12,0,0,0,63.76,71.748,69.536
2000,5,13,0,0,0,63.664,71.203,69.846
2000,5,14,0,0,0,64.291,70.807,70.407
2000,5,15,0,0,0,65.442,70.643,70.982
2000,5,16,0,0,0,66.794,70.622,71.982
2000,5,17,0,0,0,68.073,70.677,72.844
2000,5,18,0,0,0,69.142,70.814,73.397
2000,5,19,0,0,0,69.9,70.957,73.702
2000,5,20,0,0,0,70.312,71.106,74.141
2000,5,21,0,0,0,70.43,71.284,74.239
2000,5,22,0,0,0,70.274,71.403,74.056
2000,5,23,0,0,0,69.804,71.461,73.896
2000,5,24,0,0,0,69.006,71.55,73.624
2000,5,25,0,0,0,67.923,71.646,73.366
2000,5,26,0,0,0,66.647,71.681,72.929
2000,5,27,0,0,0,65.264,71.665,71.989
2000,5,28,0,0,0,63.877,71.689,70.913
2000,5,29,0,0,0,62.573,71.759,69.939
2000,5,30,0,0,0,61.437,71.619,69.167
2000,5,31,0,0,0,60.617,71.31,68.605
2000,6,1,0,0,0,60.277,70.98,68.17
2000,6,2,0,0,0,60.584,70.586,68.559
2000,6,3,0,0,0,61.55,70.278,69.33
2000,6,4,0,0,0,62.955,69.956,70.187
2000,6,5,0,0,0,64.501,69.896,71.15
2000,6,6,0,0,0,65.947,70.144,72.423
2000,6,7,0,0,0,67.148,70.243,73.255
2000,6,8,0,0,0,68.031,70.345,74.103
2000,6,9,0,0,0,68.615,70.535,74.388
2000,6,10,0,0,0,69.009,70.67,74.428
2000,6,11,0,0,0,69.292,70.685,74.602
2000,6,12,0,0,0,69.514,70.657,74.89
2000,6,13,0,0,0,69.698,70.742,75.04
2000,6,14,0,0,0,69.872,70.911,75.473
2000,6,15,0,0,0,70.034,71.081,75.893
2000,6,16,0,0,0,70.183,71.23,76.309
2000,6,17,0,0,0,70.24,71.344,76.681
2000,6,18,0,0,0,70.096,71.447,76.841
2000,6,19,0,0,0,69.644,71.563,76.556
2000,6,20,0,0,0,68.735,71.666,75.748
2000,6,21,0,0,0,67.261,71.776,74.869
2000,6,22,0,0,0,65.286,71.9,73.994
2000,6,23,0,0,0,63.031,71.868,72.877
2000,6,24,0,0,0,60.752,71.631,71.507
2000,6,25,0,0,0,58.642,71.308,69.903
2000,6,26,0,0,0,56.839,70.964,68.604
2000,6,27,0,0,0,55.437,70.632,67.69
2000,6,28,0,0,0,54.463,70.121,66.806
2000,6,29,0,0,0,53.847,69.222,65.318
2000,6,30,0,0,0,53.458,68.344,63.81
2000,7,1,0,0,0,53.119,67.916,62.308
2000,7,2,0,0,0,52.71,67.613,60.915
2000,7,3,0,0,0,52.198,67.098,59.321
2000,7,4,0,0,0,51.611,66.448,57.5
2000,7,5,0,0,0,51.036,65.836,55.827
2000,7,6,0,0,0,50.623,65.328,54.954
2000,7,7,0,0,0,50.477,64.752,54.545
2000,7,8,0,0,0,50.638,64.151,54.525
2000,7,9,0,0,0,51.03,63.704,54.647
2000,7,10,0,0,0,51.479,63.436,54.836
2000,7,11,0,0,0,51.809,63.354,55.171
